,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,sleep_cycle,efficiency,sleep_score,sleep_duration,start_time,update_time,create_time,time_offset,end_time
68,80,2024-02-21 08:51:00,19,2024-02-21 00:15:00,4,90,89,508,2024-02-21 00:15:00,2024-02-21 08:55:54.414,2024-02-21 08:51:33.033,UTC-0300,2024-02-21 08:43:00
71,65,2024-02-22 06:57:00,20,2024-02-22 00:39:00,5,89,71,350,2024-02-22 00:39:00,2024-02-22 07:08:55.906,2024-02-22 07:08:40.237,UTC-0300,2024-02-22 06:29:00
73,75,2024-02-23 08:58:00,11,2024-02-23 00:16:00,4,93,91,500,2024-02-23 00:16:00,2024-02-23 09:27:49.610,2024-02-23 09:24:35.284,UTC-0300,2024-02-23 08:36:00
75,60,2024-02-24 10:03:00,20,2024-02-24 02:42:00,2,90,82,415,2024-02-24 02:42:00,2024-02-24 10:15:52.620,2024-02-24 10:14:49.074,UTC-0300,2024-02-24 09:37:00
76,66,2024-02-25 10:24:00,24,2024-02-25 03:43:00,5,89,75,376,2024-02-25 03:43:00,2024-02-25 10:51:27.261,2024-02-25 10:51:07.224,UTC-0300,2024-02-25 09:59:00
78,82,2024-02-26 10:48:00,18,2024-02-26 02:34:00,4,91,92,484,2024-02-26 02:34:00,2024-02-26 10:50:22.068,2024-02-26 10:50:09.938,UTC-0300,2024-02-26 10:38:00
67,53,2024-02-27 06:45:00,38,2024-02-26 23:18:00,3,83,81,434,2024-02-26 23:18:00,2024-02-27 06:46:28.408,2024-02-27 06:45:39.874,UTC-0300,2024-02-27 06:32:00
69,62,2024-02-28 07:55:00,24,2024-02-28 00:21:00,4,87,81,446,2024-02-28 00:21:00,2024-02-28 07:55:32.887,2024-02-28 07:55:21.111,UTC-0300,2024-02-28 07:47:00
70,71,2024-02-29 09:39:00,25,2024-02-29 01:39:00,4,89,82,470,2024-02-29 01:39:00,2024-02-29 09:43:28.939,2024-02-29 09:39:28.001,UTC-0300,2024-02-29 09:29:00
72,34,,8,,1,93,60,149,2024-03-01 02:57:00,2024-03-01 12:20:22.630,2024-03-01 05:52:38.169,UTC-0300,2024-03-01 05:26:00
74,18,2024-03-01 05:23:00,7,2024-03-01 03:33:00,1,94,58,99,2024-03-01 03:33:00,2024-03-01 12:20:22.688,2024-03-01 12:11:43.217,UTC-0300,2024-03-01 09:12:00
