physical_recovery,movement_awakening,sleep_cycle,efficiency,sleep_score,sleep_duration,start_time,time_offset,end_time
61,20,3,91,73,331,2024-04-13 05:01:00.000,UTC-0300,2024-04-13 10:32:00.000
57,10,4,94,71,327,2024-04-14 05:09:00.000,UTC-0300,2024-04-14 10:36:00.000
67,12,3,93,87,445,2024-04-15 03:39:00.000,UTC-0300,2024-04-15 11:04:00.000
50,16,4,92,70,350,2024-04-16 04:17:00.000,UTC-0300,2024-04-16 10:07:00.000
64,6,5,95,91,436,2024-04-17 04:27:00.000,UTC-0300,2024-04-17 11:43:00.000
80,14,4,91,88,409,2024-04-18 03:58:00.000,UTC-0300,2024-04-18 10:47:00.000
55,8,3,95,80,344,2024-04-19 04:14:00.000,UTC-0300,2024-04-19 09:58:00.000
64,13,4,91,84,381,2024-04-20 03:21:00.000,UTC-0300,2024-04-20 09:42:00.000
74,12,2,92,70,301,2024-04-21 05:13:00.000,UTC-0300,2024-04-21 10:14:00.000
71,18,4,92,85,453,2024-04-22 02:02:00.000,UTC-0300,2024-04-22 09:35:00.000
58,14,2,92,85,417,2024-04-23 02:33:00.000,UTC-0300,2024-04-23 09:30:00.000
66,15,2,93,68,302,2024-04-24 02:46:00.000,UTC-0300,2024-04-24 07:48:00.000
39,23,0,85,40,95,2024-04-24 09:02:00.000,UTC-0300,2024-04-24 10:37:00.000
50,38,2,81,68,349,2024-04-25 04:40:00.000,UTC-0300,2024-04-25 10:29:00.000
66,11,5,93,84,405,2024-04-27 04:08:00.000,UTC-0300,2024-04-27 10:53:00.000
72,15,3,91,88,466,2024-04-28 04:44:00.000,UTC-0300,2024-04-28 12:30:00.000
75,12,4,91,90,448,2024-04-29 03:15:00.000,UTC-0300,2024-04-29 10:43:00.000
63,30,3,85,80,412,2024-04-30 03:45:00.000,UTC-0300,2024-04-30 10:37:00.000
62,15,5,90,84,426,2024-05-01 04:51:00.000,UTC-0300,2024-05-01 11:57:00.000
76,37,4,88,82,528,2024-05-02 02:46:00.000,UTC-0300,2024-05-02 11:34:00.000
55,23,5,88,75,386,2024-05-03 03:24:00.000,UTC-0300,2024-05-03 09:50:00.000
43,31,2,85,57,308,2024-05-04 04:35:00.000,UTC-0300,2024-05-04 09:43:00.000
75,34,5,87,80,482,2024-05-05 03:13:00.000,UTC-0300,2024-05-05 11:15:00.000
65,18,3,91,82,437,2024-05-06 03:29:00.000,UTC-0300,2024-05-06 10:46:00.000
53,20,2,90,74,381,2024-05-07 03:27:00.000,UTC-0300,2024-05-07 09:48:00.000
